438,Figure Skating,Figure Skating Mixed Ice Dancing
439,Shooting,"Shooting Mixed Free Pistol, 50 metres"
440,Sailing,Sailing Women's Skiff
441,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
442,Triathlon,Triathlon Men's Olympic Distance
443,Sailing,Sailing Women's One Person Dinghy
444,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
445,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
446,Rowing,Rowing Men's 17-Man Naval Rowing Boats
447,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
448,Weightlifting,Weightlifting Men's Super-Heavyweight
449,Rowing,Rowing Men's Lightweight Coxless Fours
450,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
451,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
452,Sailing,Sailing Mixed 5.5 metres
453,Equestrianism,"Equestrianism Mixed Jumping, Team"
454,Diving,Diving Men's Synchronized Platform
455,Snowboarding,Snowboarding Men's Halfpipe
457,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
458,Weightlifting,Weightlifting Women's Flyweight
459,Swimming,Swimming Women's 100 metres Breaststroke
460,Swimming,Swimming Women's 200 metres Breaststroke
461,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
462,Athletics,Athletics Men's Stone Throw
463,Athletics,"Athletics Men's Javelin Throw, Freestyle"
464,Athletics,Athletics Men's Pentathlon (Ancient)
465,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
466,Swimming,Swimming Women's 100 metres Butterfly
467,Weightlifting,Weightlifting Men's Heavyweight I
468,Athletics,"Athletics Women's 3,000 metres Steeplechase"
469,Athletics,"Athletics Men's Shot Put, Both Hands"
470,Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
471,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
472,Shooting,Shooting Women's Trap
473,Badminton,Badminton Men's Doubles
474,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
475,Athletics,Athletics Men's 10 kilometres Walk
476,Athletics,Athletics Women's 20 kilometres Walk
477,Athletics,Athletics Women's 80 metres Hurdles
478,Sailing,Sailing Men's One Person Heavyweight Dinghy
479,Freestyle Skiing,Freestyle Skiing Women's Aerials
480,Art Competitions,"Art Competitions Mixed Painting, Paintings"
481,Tennis,"Tennis Mixed Doubles, Covered Courts"
482,Cycling,Cycling Men's Madison
483,Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
484,Rugby,Rugby Men's Rugby
486,Weightlifting,Weightlifting Men's Heavyweight II
487,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
488,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
490,Cycling,Cycling Men's Individual Time Trial
491,Judo,Judo Women's Heavyweight
492,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
493,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events"
494,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
495,Biathlon,Biathlon Women's 10 kilometres Pursuit
496,Biathlon,Biathlon Women's 12.5 kilometres Mass Start
497,Biathlon,Biathlon Women's 4 x 6 kilometres Relay
498,Fencing,"Fencing Women's Sabre, Team"
499,Shooting,Shooting Men's Double Trap
500,Weightlifting,Weightlifting Men's Bantamweight
501,Taekwondo,Taekwondo Men's Heavyweight
502,Sailing,Sailing Mixed Windsurfer
503,Taekwondo,Taekwondo Women's Welterweight
504,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
505,Skeleton,Skeleton Men's Skeleton
507,Cycling,Cycling Men's 50 kilometres
508,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
509,Cycling,Cycling Men's 333 metres Time Trial
510,Cycling,Cycling Men's 20 kilometres
511,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres"
512,Sailing,Sailing Mixed Open
513,Sailing,Sailing Mixed 1-2 Ton
514,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
515,Luge,Luge Men's Singles
516,Luge,Luge Mixed (Men)'s Doubles
517,Sailing,Sailing Mixed Multihull
518,Badminton,Badminton Women's Doubles
519,Speed Skating,"Speed Skating Women's 3,000 metres"
520,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit
521,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
522,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
523,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit
524,Diving,Diving Women's Synchronized Platform
525,Athletics,Athletics Women's Triple Jump
526,Skeleton,Skeleton Women's Skeleton
527,Bobsleigh,Bobsleigh Men's Four/Five
528,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors"
529,Shooting,"Shooting Men's Dueling Pistol, 30 metres"
530,Boxing,Boxing Women's Lightweight
531,Cycling,Cycling Women's BMX
532,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
533,Fencing,"Fencing Men's Sabre, Masters, Individual"
534,Lacrosse,Lacrosse Men's Lacrosse
536,Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
537,Athletics,Athletics Women's 10 kilometres Walk
538,Sailing,Sailing Mixed 12 metres
539,Judo,Judo Women's Extra-Lightweight
540,Diving,Diving Men's Synchronized Springboard
541,Rowing,"Rowing Men's Coxed Fours, Outriggers"
542,Gymnastics,Gymnastics Men's Rope Climbing
543,Sailing,Sailing Mixed Two Person Dinghy
544,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event"
545,Archery,"Archery Men's Target Archery, 28 metres, Team"
546,Archery,"Archery Men's Target Archery, 33 metres, Team"
